111111	111111	111111	Ryy_x	111111	-0.5281341423584982	196
Rxx_x	111111	111111	111111	111111	-0.5676607399520421	78
111111	111111	111111	Rxx_x	111111	-0.4882923358146172	75
Ryy_x	111111	111111	111111	111111	0.5507581403453896	34
111111	111111	111111	Ryy_x	111111	0.5768101836672939	68
111111	Rxx_x	111111	111111	111111	0.535616539705112	79
Ryy_x	111111	111111	111111	111111	-0.22170113030159166	74
111111	Ryy_x	111111	111111	111111	-0.4361252754576821	45
Rxx_x	111111	111111	111111	111111	0.659396109550386	80
111111	111111	111111	Ryy_x	111111	0.19956860968759282	53
111111	111111	111111	Ryy_x	111111	-0.30935749181549443	78
Ryy_x	111111	111111	111111	111111	-0.21247035306329964	93
111111	Rxx_x	111111	111111	111111	-0.685776663814814	81
111111	111111	111111	Rxx_x	111111	-0.10141762946241029	89
111111	111111	111111	Rxx_x	111111	0.8853460991068722	44
111111	111111	111111	Rxx_x	111111	0.06506693917729534	134
Ryy_x	111111	111111	111111	111111	0.15755139054755785	45
111111	111111	111111	Rxx_x	111111	-0.24378307414709632	87
111111	111111	111111	Ryy_x	111111	0.1658327078470878	132
111111	Rxx_x	111111	111111	111111	0.24589777727186868	142
