H_y	111111	111111	111111	111111	0.0	0
111111	U3_x	111111	111111	111111	0.551357136905807	18
U3_x	111111	111111	111111	111111	-0.5880804151500478	12
111111	U3_x	111111	111111	111111	-0.9291488581241625	19
U3_x	111111	111111	111111	111111	0.2424257012754787	9
111111	111111	111111	U3_x	111111	-0.45973687360430526	36
U3_x	111111	111111	111111	111111	-0.21054393202748467	16
111111	U3_x	111111	111111	111111	0.20964485951319478	18
U3_x	111111	111111	111111	111111	-0.1509771675435354	31
111111	U3_x	111111	111111	111111	0.5727315796907182	3
U3_x	111111	111111	111111	111111	-0.3082365457857368	4
U3_x	111111	111111	111111	111111	-0.3726882412106245	19
U2_x	111111	111111	111111	111111	0.8519589677998376	15
111111	111111	111111	Rxx_x	111111	-0.9453405881938126	8
111111	111111	111111	U3_x	111111	0.10675439001648868	17
111111	111111	111111	U3_x	111111	-0.23534026223623639	19
111111	Ryy_x	111111	111111	111111	-0.9236879085910523	42
U3_x	111111	111111	111111	111111	-0.2598938974431133	40
111111	111111	111111	U2_x	111111	-0.970184864662843	47
U3_x	111111	111111	111111	111111	0.17497595438280777	15
