Rxx_x	111111	111111	111111	111111	-1.0	10
ZHn_x	111111	111111	111111	111111	-1.0	16
111111	111111	111111	111111	ZHn_x	-0.8200000000000001	18
111111	111111	ZHn_x	111111	111111	0.8400000000000001	17
111111	111111	111111	U1_x	111111	-1.0	19
111111	111111	ZHn_x	111111	111111	-1.0	9
111111	111111	111111	ZHn_x	111111	-0.48	24
111111	111111	111111	Ryy_x	111111	-0.48	11
111111	111111	Ryy_x	111111	111111	0.6600000000000001	40
ZHn_x	111111	111111	111111	111111	-1.0	18
111111	111111	111111	Rxx_x	111111	-0.48	12
Ryy_x	111111	111111	111111	111111	-0.52	30
111111	111111	Ryy_x	111111	111111	-1.0	40
111111	111111	Ryy_x	111111	111111	-0.42000000000000004	18
111111	Rzz_x	111111	111111	111111	-1.0	15
