gate,cost
1,0.6254058900994884
2,0.5192792193206707
3,0.5018217954168456
4,0.48443383983433685
5,0.47027768341335435
6,0.45152939112026963
7,0.4355355399448575
8,0.4271223224001079
9,0.4049242381936227
10,0.4013521337798556
11,0.3917915108534542
12,0.3743670259779218
13,0.3712749882228659
14,0.3494270185496388
15,0.35088404596949385
16,0.3282325122006634
17,0.3341302698170436
18,0.30721220004404354
19,0.31493838844850897
20,0.29440530051322084
21,0.30422560846857427
22,0.2860768243883194
23,0.2936155962405098
24,0.2761847383497702
25,0.28786747957524167
26,0.2693194821945308
27,0.27845589451832525
28,0.26601388479860294
29,0.2625884129943545
30,0.25580190592939733
31,0.2595724223554192
32,0.25372936080142944
33,0.25610813204313054
34,0.2526822184541133
35,0.25396238360845386
36,0.25512130061928945
37,0.25338664479551637
38,0.25226977550682117
39,0.25349690567591143
40,0.25118312748114713
41,0.25199628544108343
42,0.2510492698869696
